LineId,Process,Content,EventId,EventTemplate,ParameterList,Timestamp,id
35,dnsmasq[3468],forwarded 4.230.168.192.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.230.168.192.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,35
36,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,36
37,dnsmasq[3468],reply 192.168.230.4 is gateway.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['192.168.230.4', 'gateway.smith.russellmitchell.com']",2022/01/24 03:56:47,37
38,dnsmasq[3468],query[PTR] 4.2.143.10.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['4.2.143.10', '172.19.131.174']",2022/01/24 03:56:47,38
39,dnsmasq[3468],forwarded 4.2.143.10.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.2.143.10.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,39
40,dnsmasq[3468],query[PTR] 254.231.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['254.231.168.192', '172.19.131.174']",2022/01/24 03:56:47,40
41,dnsmasq[3468],forwarded 254.231.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['254.231.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,41
42,dnsmasq[3468],query[PTR] 164.231.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['164.231.168.192', '172.19.131.174']",2022/01/24 03:56:47,42
43,dnsmasq[3468],forwarded 164.231.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['164.231.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,43
44,dnsmasq[3468],query[PTR] 103.0.143.10.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['103.0.143.10', '172.19.131.174']",2022/01/24 03:56:47,44
45,dnsmasq[3468],forwarded 103.0.143.10.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['103.0.143.10.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,45
46,dnsmasq[3468],query[PTR] 106.130.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['106.130.19.172', '172.19.131.174']",2022/01/24 03:56:47,46
47,dnsmasq[3468],forwarded 106.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['106.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,47
48,dnsmasq[3468],query[PTR] 4.130.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['4.130.19.172', '172.19.131.174']",2022/01/24 03:56:47,48
49,dnsmasq[3468],forwarded 4.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,49
50,dnsmasq[3468],forwarded 4.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,50
51,dnsmasq[3468],query[PTR] 56.231.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['56.231.168.192', '172.19.131.174']",2022/01/24 03:56:47,51
52,dnsmasq[3468],forwarded 56.231.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['56.231.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,52
53,dnsmasq[3468],query[PTR] 68.130.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['68.130.19.172', '172.19.131.174']",2022/01/24 03:56:47,53
54,dnsmasq[3468],forwarded 68.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['68.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,54
55,dnsmasq[3468],query[PTR] 174.131.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['174.131.19.172', '172.19.131.174']",2022/01/24 03:56:47,55
56,dnsmasq[3468],forwarded 174.131.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['174.131.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,56
57,dnsmasq[3468],forwarded 174.131.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['174.131.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,57
58,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,58
59,dnsmasq[3468],reply 10.143.2.4 is intranet.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['10.143.2.4', 'intranet.smith.russellmitchell.com']",2022/01/24 03:56:47,59
60,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,60
61,dnsmasq[3468],reply 10.143.0.103 is share.intranet.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['10.143.0.103', 'share.intranet.smith.russellmitchell.com']",2022/01/24 03:56:47,61
62,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,62
63,dnsmasq[3468],reply 172.19.130.106 is cloud.dmz.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.130.106', 'cloud.dmz.smith.russellmitchell.com']",2022/01/24 03:56:47,63
64,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,64
65,dnsmasq[3468],reply 172.19.130.4 is mailserver.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.130.4', 'mailserver.smith.russellmitchell.com']",2022/01/24 03:56:47,65
66,dnsmasq[3468],reply 172.19.130.4 is mail.dmz.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.130.4', 'mail.dmz.smith.russellmitchell.com']",2022/01/24 03:56:47,66
67,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,67
68,dnsmasq[3468],reply 172.19.130.68 is proxy.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.130.68', 'proxy.smith.russellmitchell.com']",2022/01/24 03:56:47,68
69,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,69
70,dnsmasq[3468],reply 172.19.131.174 is vpn.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.131.174', 'vpn.smith.russellmitchell.com']",2022/01/24 03:56:47,70
71,dnsmasq[3468],reply 172.19.131.174 is vpn.dmz.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.131.174', 'vpn.dmz.smith.russellmitchell.com']",2022/01/24 03:56:47,71
72,dnsmasq[3468],query[PTR] 4.230.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['4.230.168.192', '172.19.131.174']",2022/01/24 03:56:47,72
73,dnsmasq[3468],forwarded 4.230.168.192.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.230.168.192.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,73
74,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,74
75,dnsmasq[3468],reply 192.168.230.4 is gateway.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['192.168.230.4', 'gateway.smith.russellmitchell.com']",2022/01/24 03:56:47,75
76,dnsmasq[3468],reply 192.168.231.254 is dns.russellmitchell.com,a1c209ec,reply <*> is <*>,"['192.168.231.254', 'dns.russellmitchell.com']",2022/01/24 03:56:47,76
77,dnsmasq[3468],reply 192.168.231.164 is mailserver.morris.russellmitchell.com,a1c209ec,reply <*> is <*>,"['192.168.231.164', 'mailserver.morris.russellmitchell.com']",2022/01/24 03:56:47,77
78,dnsmasq[3468],reply 192.168.231.56 is smtp.davey.russellmitchell.com,a1c209ec,reply <*> is <*>,"['192.168.231.56', 'smtp.davey.russellmitchell.com']",2022/01/24 03:56:47,78
79,dnsmasq[3468],query[PTR] 4.2.143.10.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['4.2.143.10', '172.19.131.174']",2022/01/24 03:56:47,79
80,dnsmasq[3468],forwarded 4.2.143.10.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.2.143.10.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,80
81,dnsmasq[3468],query[PTR] 103.0.143.10.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['103.0.143.10', '172.19.131.174']",2022/01/24 03:56:47,81
82,dnsmasq[3468],forwarded 103.0.143.10.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['103.0.143.10.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,82
83,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,83
84,dnsmasq[3468],reply 10.143.2.4 is intranet.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['10.143.2.4', 'intranet.smith.russellmitchell.com']",2022/01/24 03:56:47,84
85,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,85
86,dnsmasq[3468],reply 10.143.0.103 is share.intranet.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['10.143.0.103', 'share.intranet.smith.russellmitchell.com']",2022/01/24 03:56:47,86
87,dnsmasq[3468],query[PTR] 68.130.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['68.130.19.172', '172.19.131.174']",2022/01/24 03:56:47,87
88,dnsmasq[3468],forwarded 68.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['68.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,88
89,dnsmasq[3468],query[PTR] 106.130.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['106.130.19.172', '172.19.131.174']",2022/01/24 03:56:47,89
90,dnsmasq[3468],forwarded 106.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['106.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,90
91,dnsmasq[3468],query[PTR] 4.130.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['4.130.19.172', '172.19.131.174']",2022/01/24 03:56:47,91
92,dnsmasq[3468],forwarded 4.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,92
93,dnsmasq[3468],forwarded 4.130.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['4.130.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,93
94,dnsmasq[3468],query[PTR] 174.131.19.172.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['174.131.19.172', '172.19.131.174']",2022/01/24 03:56:47,94
95,dnsmasq[3468],forwarded 174.131.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['174.131.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,95
96,dnsmasq[3468],forwarded 174.131.19.172.in-addr.arpa to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['174.131.19.172.in-addr.arpa', '127.0.0.1']",2022/01/24 03:56:47,96
97,dnsmasq[3468],query[PTR] 254.231.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['254.231.168.192', '172.19.131.174']",2022/01/24 03:56:47,97
98,dnsmasq[3468],cached 192.168.231.254 is dns.russellmitchell.com,2604aa46,cached <*> is <*>,"['192.168.231.254', 'dns.russellmitchell.com']",2022/01/24 03:56:47,98
99,dnsmasq[3468],query[PTR] 164.231.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['164.231.168.192', '172.19.131.174']",2022/01/24 03:56:47,99
100,dnsmasq[3468],cached 192.168.231.164 is mailserver.morris.russellmitchell.com,2604aa46,cached <*> is <*>,"['192.168.231.164', 'mailserver.morris.russellmitchell.com']",2022/01/24 03:56:47,100
101,dnsmasq[3468],query[PTR] 56.231.168.192.in-addr.arpa from 172.19.131.174,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['56.231.168.192', '172.19.131.174']",2022/01/24 03:56:47,101
102,dnsmasq[3468],cached 192.168.231.56 is smtp.davey.russellmitchell.com,2604aa46,cached <*> is <*>,"['192.168.231.56', 'smtp.davey.russellmitchell.com']",2022/01/24 03:56:47,102
103,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,103
104,dnsmasq[3468],reply 172.19.130.68 is proxy.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.130.68', 'proxy.smith.russellmitchell.com']",2022/01/24 03:56:47,104
105,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,105
106,dnsmasq[3468],reply 172.19.130.106 is cloud.dmz.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.130.106', 'cloud.dmz.smith.russellmitchell.com']",2022/01/24 03:56:47,106
107,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,107
108,dnsmasq[3468],reply 172.19.130.4 is mailserver.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.130.4', 'mailserver.smith.russellmitchell.com']",2022/01/24 03:56:47,108
109,dnsmasq[3468],reply 172.19.130.4 is mail.dmz.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.130.4', 'mail.dmz.smith.russellmitchell.com']",2022/01/24 03:56:47,109
110,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:47,110
111,dnsmasq[3468],reply 172.19.131.174 is vpn.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.131.174', 'vpn.smith.russellmitchell.com']",2022/01/24 03:56:47,111
112,dnsmasq[3468],reply 172.19.131.174 is vpn.dmz.smith.russellmitchell.com,a1c209ec,reply <*> is <*>,"['172.19.131.174', 'vpn.dmz.smith.russellmitchell.com']",2022/01/24 03:56:47,112
113,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:47,113
114,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,114
115,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:47,115
116,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,116
117,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:47,117
118,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,118
119,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:47,119
120,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,120
121,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:47,121
122,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,122
123,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:47,123
124,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,124
125,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:47,125
126,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,126
127,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:47,127
128,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:47,128
129,dnsmasq[3468],query[A] intranet.smith.russellmitchell.com from 10.143.2.4,40f8343b,query[A] <*> from <*>,"['intranet.smith.russellmitchell.com', '10.143.2.4']",2022/01/24 03:56:53,129
130,dnsmasq[3468],forwarded intranet.smith.russellmitchell.com to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['intranet.smith.russellmitchell.com', '127.0.0.1']",2022/01/24 03:56:53,130
131,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:53,131
132,dnsmasq[3468],reply intranet.smith.russellmitchell.com is 10.143.2.4,a1c209ec,reply <*> is <*>,"['intranet.smith.russellmitchell.com', '10.143.2.4']",2022/01/24 03:56:53,132
133,dnsmasq[3468],query[AAAA] intranet.smith.russellmitchell.com from 10.143.2.4,1c20f0f3,query[AAAA] <*> from <*>,"['intranet.smith.russellmitchell.com', '10.143.2.4']",2022/01/24 03:56:53,133
134,dnsmasq[3468],forwarded intranet.smith.russellmitchell.com to 127.0.0.1,bef4b736,forwarded <*> to <*>,"['intranet.smith.russellmitchell.com', '127.0.0.1']",2022/01/24 03:56:53,134
135,dnsmasq[3468],nameserver 127.0.0.1 refused to do a recursive query,b0a0058c,nameserver <*> refused to do a recursive query,['127.0.0.1'],2022/01/24 03:56:53,135
136,dnsmasq[3468],reply intranet.smith.russellmitchell.com is NODATA-IPv6,a1c209ec,reply <*> is <*>,"['intranet.smith.russellmitchell.com', 'NODATA-IPv6']",2022/01/24 03:56:53,136
137,dnsmasq[3468],query[A] api.wordpress.org from 10.143.2.4,40f8343b,query[A] <*> from <*>,"['api.wordpress.org', '10.143.2.4']",2022/01/24 03:56:53,137
138,dnsmasq[3468],forwarded api.wordpress.org to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['api.wordpress.org', '192.168.231.254']",2022/01/24 03:56:53,138
139,dnsmasq[3468],query[AAAA] api.wordpress.org from 10.143.2.4,1c20f0f3,query[AAAA] <*> from <*>,"['api.wordpress.org', '10.143.2.4']",2022/01/24 03:56:53,139
140,dnsmasq[3468],forwarded api.wordpress.org to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['api.wordpress.org', '192.168.231.254']",2022/01/24 03:56:53,140
141,dnsmasq[3468],reply api.wordpress.org is 198.143.164.251,a1c209ec,reply <*> is <*>,"['api.wordpress.org', '198.143.164.251']",2022/01/24 03:56:53,141
142,dnsmasq[3468],reply api.wordpress.org is NODATA-IPv6,a1c209ec,reply <*> is <*>,"['api.wordpress.org', 'NODATA-IPv6']",2022/01/24 03:56:53,142
143,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:58,143
144,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:58,144
145,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:58,145
146,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:58,146
147,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:59,147
148,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:59,148
149,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:59,149
150,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:59,150
151,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:59,151
152,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:59,152
153,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:56:59,153
154,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:56:59,154
155,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:57:00,155
156,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:57:00,156
157,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:57:00,157
158,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:57:00,158
159,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:57:00,159
160,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:57:00,160
161,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:57:00,161
162,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:57:00,162
163,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:57:01,163
164,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:57:01,164
165,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:57:01,165
166,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:57:01,166
167,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:57:01,167
168,dnsmasq[3468],forwarded 122.230.168.192.in-addr.arpa to 192.168.231.254,bef4b736,forwarded <*> to <*>,"['122.230.168.192.in-addr.arpa', '192.168.231.254']",2022/01/24 03:57:01,168
169,dnsmasq[3468],query[PTR] 122.230.168.192.in-addr.arpa from 172.19.130.4,006ad4fc,query[PTR] <*>.in-addr.arpa from <*>,"['122.230.168.192', '172.19.130.4']",2022/01/24 03:57:01,169
